# ----------------------------------------
# ページとスクリーン: ページパスとスクリーン クラス
# アカウント: 株式会社 コモンウェルスエンジニアーズ
# プロパティ: cectokyo.com
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20251101
# 終了日: 20251130
ページ タイトルとスクリーン クラス,表示回数,アクティブ ユーザー,アクティブ ユーザーあたりのビュー,アクティブ ユーザーあたりの平均エンゲージメント時間,新規ユーザー数,リピーター数,セッションあたりの平均エンゲージメント時間,直帰率,アクティブ ユーザーあたりの購入数
(not set),1626,960,1.69375,22.371875,931,67,20.434823977164605,0.69267364414843,0
Bentley Systems Regional Seminar 2025 Tokyo に登壇 〜YII Awardsが育む次世代エンジニア〜 | 株式会社 コモンウェルスエンジニアーズ,14,1,14,175,0,1,58.333333333333336,0,0
株式会社 コモンウェルスエンジニアーズ,7,1,7,63,0,1,15.75,0,0
NEWS | 株式会社 コモンウェルスエンジニアーズ,5,1,5,25,0,1,25,0,0
事業内容 | 株式会社 コモンウェルスエンジニアーズ,5,1,5,46,0,1,15.333333333333334,0,0
「Bentley Systems（ベントレー・システムズ）YII 2024 Going Digital Awards プロジェクトご応募 表彰セッションに参加」 Bentley Systems YII 2024 Going Digital Awards表彰セッションに参加| 株式会社 コモンウェルスエンジニアーズ,3,1,3,114,0,1,114,0,0
業務実績 | 株式会社 コモンウェルスエンジニアーズ,2,1,2,12,0,1,6,0,0
【実施レポート】磯子工業高校の生徒2名が3日間のインターンシップに参加 | 株式会社 コモンウェルスエンジニアーズ,1,1,1,10,0,1,10,0,0
インターンシップ募集のお知らせ | 株式会社 コモンウェルスエンジニアーズ,1,1,1,7,0,1,7,0,0
会社案内 | 株式会社 コモンウェルスエンジニアーズ,1,1,1,1,0,1,1,0,0
採用情報 | 株式会社 コモンウェルスエンジニアーズ,1,1,1,40,0,1,40,0,0
