国,クリック数,表示回数,CTR,掲載順位
日本,159,2586,6.15%,8.69
フィリピン,4,26,15.38%,5.58
インド,2,64,3.12%,5.34
韓国,1,33,3.03%,6.61
ベトナム,1,31,3.23%,5.03
オーストラリア,1,17,5.88%,6.12
米国,0,226,0%,7.84
シンガポール,0,23,0%,5.96
イギリス,0,21,0%,6.62
香港,0,20,0%,8.65
タイ,0,18,0%,11.22
カナダ,0,16,0%,4.06
マレーシア,0,15,0%,6.53
バングラディッシュ,0,13,0%,4.54
台湾,0,12,0%,5.67
イタリア,0,12,0%,6
インドネシア,0,12,0%,7.25
アラブ首長国連邦,0,10,0%,8.7
ポーランド,0,9,0%,5.22
サウジアラビア,0,8,0%,3.88
ドイツ,0,8,0%,6
中国,0,8,0%,7.75
フランス,0,7,0%,6.29
ブラジル,0,7,0%,13.14
スペイン,0,5,0%,4.2
イスラエル,0,5,0%,4.8
カタール,0,5,0%,5.2
トルコ,0,5,0%,6.2
メキシコ,0,5,0%,10.8
オーストリア,0,3,0%,3.67
フィンランド,0,3,0%,3.67
ロシア,0,3,0%,6
ケニア,0,3,0%,6.33
ギリシャ,0,3,0%,7
イラク,0,3,0%,7.33
マルタ,0,2,0%,1
アルゼンチン,0,2,0%,5
クウェート,0,2,0%,6
ハンガリー,0,2,0%,7
モロッコ,0,2,0%,7
オランダ,0,2,0%,8
チリ,0,2,0%,9
ネパール,0,2,0%,9
ガイアナ,0,2,0%,10
コンゴ民主共和国 - キンシャサ,0,1,0%,1
ラトビア,0,1,0%,1
ウクライナ,0,1,0%,2
アイスランド,0,1,0%,3
英領バージン諸島,0,1,0%,3
アゼルバイジャン,0,1,0%,4
デンマーク,0,1,0%,4
ガンビア,0,1,0%,4
ベネズエラ,0,1,0%,4
アルジェリア,0,1,0%,5
ナイジェリア,0,1,0%,5
ペルー,0,1,0%,5
パプアニューギニア,0,1,0%,5
イエメン,0,1,0%,5
リトアニア,0,1,0%,6
南アフリカ,0,1,0%,6
スリランカ,0,1,0%,7
パキスタン,0,1,0%,7
ウズベキスタン,0,1,0%,7
カメルーン,0,1,0%,8
カザフスタン,0,1,0%,8
スロバキア,0,1,0%,8
スロベニア,0,1,0%,8
スイス連邦,0,1,0%,9
グルジア,0,1,0%,10
ニュージーランド,0,1,0%,10
ルーマニア,0,1,0%,12
