日付,クリック数,表示回数,CTR,掲載順位
2025-11-01,1,31,3.23%,8.8
2025-11-02,6,129,4.65%,9.6
2025-11-03,6,168,3.57%,10.2
2025-11-04,4,78,5.13%,7.2
2025-11-05,12,117,10.26%,6.3
2025-11-06,10,101,9.9%,6.2
2025-11-07,1,75,1.33%,10.6
2025-11-08,1,74,1.35%,9.9
2025-11-09,7,113,6.19%,8.9
2025-11-10,6,142,4.23%,8.4
2025-11-11,10,138,7.25%,7.6
2025-11-12,10,153,6.54%,8
2025-11-13,12,133,9.02%,7.4
2025-11-14,3,101,2.97%,8.6
2025-11-15,3,107,2.8%,7.8
2025-11-16,6,120,5%,5.6
2025-11-17,6,151,3.97%,7.1
2025-11-18,4,140,2.86%,9
2025-11-19,8,112,7.14%,10.8
2025-11-20,4,136,2.94%,8
2025-11-21,4,91,4.4%,8.2
2025-11-22,2,86,2.33%,8.7
2025-11-23,1,91,1.1%,10.7
2025-11-24,6,121,4.96%,7.7
2025-11-25,5,127,3.94%,8.6
2025-11-26,8,147,5.44%,9
2025-11-27,5,102,4.9%,8.1
2025-11-28,3,66,4.55%,8.6
2025-11-29,1,56,1.79%,7.3
2025-11-30,13,84,15.48%,6
