# ----------------------------------------
# イベント: イベント名
# アカウント: 株式会社 コモンウェルスエンジニアーズ
# プロパティ: cectokyo.com
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20251201
# 終了日: 20251231
イベント名,イベント数,総ユーザー数,アクティブ ユーザーあたりのイベント数,合計収益
page_view,1620,712,2.2881355932203391,0
user_engagement,1264,473,2.6723044397463003,0
session_start,832,712,1.1751412429378532,0
first_visit,686,681,1.0073421439060206,0
scroll,258,167,1.5542168674698795,0
form_start,68,65,1.0461538461538462,0
contact,24,24,1,0
form_submit,11,7,1.5714285714285714,0
file_download,1,1,1,0
view_search_results,1,1,1,0
